SRIM helium energy vs stopping power vs range,,
Source: SRIM-2013,,
In Diamond (Carbon): Density = 1 g/cm3,,
,,
Energy [keV],Projected Range [um],dE/dx Elec. [keV/um*cm3/g]
1,0.0203,1.41E+01
1.1,0.0223,1.48E+01
1.2,0.0242,1.54E+01
1.3,0.0261,1.61E+01
1.4,0.028,1.67E+01
1.5,0.0299,1.73E+01
1.6,0.0318,1.78E+01
1.7,0.0338,1.84E+01
1.8,0.0357,1.89E+01
2,0.0395,1.99E+01
2.25,0.0443,2.12E+01
2.5,0.0491,2.23E+01
2.75,0.0539,2.34E+01
3,0.0586,2.44E+01
3.25,0.0634,2.54E+01
3.5,0.0681,2.64E+01
3.75,0.0728,2.73E+01
4,0.0775,2.82E+01
4.5,0.0868,2.99E+01
5,0.096,3.15E+01
5.5,0.1051,3.31E+01
6,0.114,3.45E+01
6.5,0.1229,3.60E+01
7,0.1317,3.73E+01
8,0.1489,3.99E+01
9,0.1657,4.23E+01
10,0.1821,4.46E+01
11,0.1981,4.67E+01
12,0.2138,4.88E+01
13,0.2291,5.08E+01
14,0.2442,5.27E+01
15,0.2589,5.46E+01
16,0.2733,5.64E+01
17,0.2875,5.81E+01
18,0.3014,5.98E+01
20,0.3286,6.30E+01
22.5,0.3613,6.67E+01
25,0.3927,7.02E+01
27.5,0.4232,7.34E+01
30,0.4527,7.65E+01
32.5,0.4813,7.93E+01
35,0.5093,8.19E+01
37.5,0.5366,8.44E+01
40,0.5632,8.67E+01
45,0.6151,9.09E+01
50,0.6652,9.46E+01
55,0.7138,9.79E+01
60,0.7611,1.01E+02
65,0.8073,1.04E+02
70,0.8524,1.07E+02
80,0.9397,1.12E+02
90,1.02,1.17E+02
100,1.1,1.22E+02
110,1.18,1.27E+02
120,1.26,1.31E+02
130,1.33,1.35E+02
140,1.4,1.39E+02
150,1.47,1.43E+02
160,1.54,1.47E+02
170,1.6,1.50E+02
180,1.67,1.53E+02
200,1.8,1.59E+02
225,1.95,1.65E+02
250,2.1,1.70E+02
275,2.24,1.74E+02
300,2.38,1.78E+02
325,2.52,1.81E+02
350,2.65,1.84E+02
375,2.79,1.86E+02
400,2.92,1.88E+02
450,3.18,1.90E+02
500,3.44,1.92E+02
550,3.7,1.93E+02
600,3.96,1.93E+02
650,4.22,1.92E+02
700,4.48,1.91E+02
800,5,1.89E+02
900,5.54,1.85E+02
1000,6.08,1.81E+02
1100,6.64,1.77E+02
1200,7.21,1.73E+02
1300,7.79,1.68E+02
1400,8.39,1.64E+02
1500,9.01,1.60E+02
1600,9.64,1.56E+02
1700,10.29,1.52E+02
1800,10.95,1.48E+02
2000,12.34,1.41E+02
2250,14.16,1.33E+02
2500,16.1,1.26E+02
2750,18.14,1.19E+02
3000,20.29,1.13E+02
3250,22.56,1.08E+02
3500,24.94,1.03E+02
3750,27.42,9.82E+01
4000,30.02,9.42E+01
4500,35.54,8.70E+01
5000,41.49,8.09E+01
5500,47.88,7.56E+01
6000,54.7,7.10E+01
6500,61.95,6.69E+01
7000,69.62,6.34E+01
8000,86.21,5.73E+01
9000,104.39,5.28E+01
10000,124.12,4.86E+01
11000,145.45,4.52E+01
12000,168.3,4.23E+01
13000,192.65,3.98E+01
14000,218.48,3.76E+01
15000,245.77,3.57E+01
16000,274.5,3.39E+01
17000,304.65,3.24E+01
18000,336.22,3.10E+01
20000,403.51,2.85E+01
22500,495.33,2.60E+01
25000,595.58,2.39E+01
27500,704.14,2.22E+01
30000,820.86,2.07E+01
32500,945.64,1.94E+01
35000,1080,1.83E+01
37500,1220,1.73E+01
40000,1370,1.64E+01
45000,1690,1.49E+01
50000,2040,1.37E+01
55000,2420,1.27E+01
60000,2820,1.18E+01
65000,3260,1.11E+01
70000,3730,1.04E+01
80000,4740,9.35E+00
90000,5860,8.49E+00
100000,7090,7.79E+00
